,occupancy,listing_count,availability_90,num_reviews,num_bath,num_bed,num_bedroom,min_nights,room_type,property_type,bathroom_type,has_about,has_neighborhood_overview,account_age,has_profile_pic,identity_verified,is_superhost,instant_bookable,neighbourhood
2227,4,6,154,63,2.0,4.0,2.0,6,Entire home/apt,Entire apartment,regular,1,1,8,1,0,0,0,Yau Tsim Mong
2228,4,3,90,64,1.0,2.0,1.0,3,Entire home/apt,Entire apartment,regular,1,1,4,1,0,0,1,Yau Tsim Mong
2229,4,80,63,148,4.0,4.0,3.0,66,Entire home/apt,Entire apartment,regular,1,1,20,1,0,0,1,Yau Tsim Mong
2230,4,11,80,227,1.5,2.0,1.0,90,Private room,boutique hotel,regular,1,1,6,1,0,1,1,Yau Tsim Mong
2231,4,6,50,85,1.0,3.0,1.0,1,Entire home/apt,Entire apartment,regular,1,1,8,1,1,0,1,Central & Western
2232,4,7,79,51,1.0,3.0,2.0,1,Entire home/apt,Entire guest suite,regular,1,1,3,1,1,0,0,Yuen Long
2233,4,11,85,70,1.0,2.0,2.0,1,Entire home/apt,Entire apartment,regular,1,1,4,1,1,0,1,North
2234,4,20,360,18,12.0,4.0,4.0,4,Shared room,hostel,regular,1,1,28,1,0,1,1,Yau Tsim Mong
2235,4,1,0,92,1.0,2.0,1.0,1,Entire home/apt,Entire apartment,regular,1,1,5,1,1,0,1,Islands
2236,4,0,83,38,1.5,2.0,2.0,2,Private room,apartment,regular,1,1,6,1,1,0,0,Yau Tsim Mong
2237,4,1,0,6,1.0,2.0,2.0,2,Entire home/apt,Entire condominium,regular,1,1,4,1,1,0,0,Central & Western
2238,4,1,88,0,2.0,2.0,1.0,30,Shared room,condominium,shared,0,0,3,1,0,0,0,Tuen Mun
2239,4,2,0,0,1.0,4.0,1.0,1,Private room,apartment,shared,0,0,2,1,0,0,0,Yau Tsim Mong
2240,4,4,89,1,1.0,4.0,1.0,1,Shared room,tiny house,shared,0,0,1,1,0,0,1,North
2241,4,10,180,13,2.0,8.0,8.0,4,Private room,apartment,shared,0,0,10,1,1,0,1,Sha Tin
2242,4,34,86,2,2.0,2.0,2.0,1,Private room,serviced apartment,shared,0,0,5,1,0,0,0,Kowloon City
2243,4,3,90,0,1.0,4.0,1.0,1,Shared room,bed and breakfast,shared,0,0,5,1,0,0,0,Yau Tsim Mong
2244,4,3,0,2,2.0,2.0,2.0,35,Private room,apartment,shared,0,0,3,1,0,0,0,Yau Tsim Mong
2245,4,0,90,0,1.0,0.0,1.0,1,Private room,apartment,shared,0,0,2,1,0,0,1,Kowloon City
2246,4,2,88,0,1.0,1.0,1.0,180,Shared room,apartment,shared,0,0,2,1,0,0,1,Wan Chai
2247,4,3,66,1,2.0,3.0,1.0,1,Private room,house,shared,0,0,2,1,1,0,0,Yuen Long
2248,4,4,180,42,2.0,2.0,2.0,58,Private room,apartment,shared,0,0,4,1,1,1,0,Sai Kung
2249,4,1,22,13,1.0,2.0,1.0,1,Private room,apartment,shared,0,1,3,1,1,0,0,Tai Po
2250,4,4,151,1,2.0,2.0,2.0,56,Private room,house,shared,0,1,4,1,0,0,0,Islands
2251,4,0,90,0,1.0,1.0,1.0,1,Private room,apartment,shared,0,1,2,1,0,0,0,Wan Chai
2252,4,1,87,80,1.0,4.0,1.0,1,Shared room,condominium,shared,0,1,3,1,0,1,0,Eastern
