,occupancy,listing_count,availability_90,num_reviews,num_bath,num_bed,num_bedroom,min_nights,room_type,property_type,bathroom_type,has_about,has_neighborhood_overview,account_age,has_profile_pic,identity_verified,is_superhost,instant_bookable,neighbourhood
0,1,10,89,0,1.0,1.0,1.0,1,Private room,apartment,private,0,0,1,1,1,0,1,Yau Tsim Mong
1,1,3,90,0,1.0,1.0,1.0,30,Private room,guesthouse,private,0,0,1,1,0,0,1,Yuen Long
2,1,1,90,0,1.0,1.0,3.0,2,Private room,guesthouse,private,0,0,1,1,1,0,1,Yau Tsim Mong
3,1,4,87,1,1.0,1.0,1.0,30,Private room,apartment,private,0,0,3,1,0,0,0,Wan Chai
5,1,3,90,0,1.0,1.0,1.0,28,Private room,bed and breakfast,private,0,0,3,1,0,0,1,Wan Chai
6,1,10,0,8,1.0,1.0,1.0,1,Private room,guesthouse,private,0,0,2,1,0,0,1,Yau Tsim Mong
7,1,10,21,2,1.0,1.0,1.0,28,Private room,apartment,private,0,0,3,1,0,1,0,Wan Chai
8,1,7,90,19,1.0,1.0,1.0,1,Private room,apartment,private,0,0,5,1,0,1,1,Yau Tsim Mong
10,1,3,90,1,1.0,1.0,1.0,1,Private room,apartment,private,0,0,5,1,0,0,1,Eastern
12,1,5,0,0,1.0,3.0,1.0,1,Private room,hotel,private,0,0,3,1,0,0,0,Yau Tsim Mong
13,1,2,90,36,1.0,1.0,1.0,1,Private room,hotel,private,0,0,4,1,0,0,1,Yau Tsim Mong
14,1,2,87,0,1.0,1.0,1.0,20,Private room,apartment,private,0,0,2,1,0,0,0,Yau Tsim Mong
15,1,1,0,0,1.0,1.0,1.0,14,Private room,apartment,private,0,0,6,1,0,0,0,Central & Western
17,1,1,0,0,1.0,1.0,1.0,365,Private room,guest suite,private,0,0,3,1,0,0,1,Central & Western
18,1,0,90,0,1.0,1.0,1.0,180,Private room,condominium,private,0,0,0,1,0,0,1,Sha Tin
20,1,0,76,0,1.0,1.0,1.0,14,Private room,guesthouse,private,0,0,6,1,0,0,1,Yau Tsim Mong
21,1,27,0,3,1.0,1.0,1.0,1,Private room,boutique hotel,private,0,0,5,1,1,0,0,Eastern
22,1,2,0,2,1.0,1.0,1.0,1,Private room,apartment,private,0,0,3,1,1,0,0,Sham Shui Po
24,1,1,66,0,1.0,1.0,1.0,7,Private room,condominium,private,0,0,4,1,1,0,0,Yau Tsim Mong
25,1,1,90,1,1.0,1.0,1.0,28,Private room,guest suite,private,0,0,1,1,1,0,0,Yau Tsim Mong
26,1,1,22,0,1.0,1.0,1.0,1,Private room,guesthouse,private,0,1,3,1,0,0,1,Eastern
27,1,4,88,0,1.0,1.0,1.0,7,Private room,apartment,private,0,1,3,1,0,0,0,Wan Chai
28,1,0,82,0,1.0,1.0,1.0,1,Private room,apartment,private,0,1,7,1,1,0,1,Islands
29,1,1,89,57,1.0,1.0,1.0,1,Private room,apartment,private,0,1,4,1,0,1,0,Eastern
32,1,1,80,63,1.0,1.0,1.0,3,Private room,apartment,private,0,1,4,1,1,0,1,Wan Chai
33,1,0,76,1,1.0,0.0,1.0,1,Private room,house,private,0,1,1,1,0,0,0,Sai Kung
34,1,1,49,1,1.0,1.0,1.0,2,Private room,apartment,private,0,1,7,1,1,0,0,Central & Western
35,1,1,50,1,1.0,1.0,1.0,7,Private room,guesthouse,private,0,1,1,1,1,0,0,Wong Tai Sin
37,1,18,90,0,1.0,1.0,1.0,28,Private room,boutique hotel,private,0,1,1,1,1,0,1,Wan Chai
39,1,1,83,0,1.0,1.0,1.0,1,Private room,house,private,0,1,4,1,0,0,1,Yuen Long
40,1,0,66,0,1.0,1.0,1.0,1,Private room,house,private,0,1,2,1,1,0,1,North
41,1,3,90,0,1.0,1.0,1.0,1,Private room,apartment,private,0,1,5,1,1,0,1,Yau Tsim Mong
42,1,1,0,15,1.0,1.0,1.0,1,Private room,apartment,private,0,1,3,1,1,1,0,Central & Western
43,1,2,89,0,1.0,1.0,1.0,20,Private room,condominium,private,1,0,3,1,1,0,1,Islands
45,1,0,0,0,1.0,1.0,1.0,1,Private room,hostel,private,1,0,2,1,1,0,0,Yau Tsim Mong
46,1,31,90,0,1.0,1.0,1.0,1,Private room,condominium,private,1,0,4,1,1,0,0,Tsuen Wan
47,1,266,90,0,1.0,1.0,1.0,30,Private room,apartment,private,1,0,8,1,0,1,0,Central & Western
48,1,369,89,0,1.0,1.0,1.0,29,Private room,apartment,private,1,0,4,1,0,0,0,Wan Chai
49,1,12,89,2,1.0,0.0,1.0,14,Private room,apartment,private,1,0,5,1,1,0,0,Yau Tsim Mong
50,1,10,0,39,1.0,1.0,1.0,1,Private room,hostel,private,1,0,5,1,0,0,0,Yau Tsim Mong
51,1,1,0,0,1.0,1.0,1.0,5,Private room,condominium,private,1,0,2,1,0,0,0,Sai Kung
52,1,0,88,0,1.0,1.0,1.0,1,Private room,apartment,private,1,0,5,1,0,0,1,Wan Chai
53,1,1,0,1,1.0,1.0,1.0,29,Private room,condominium,private,1,0,5,1,1,0,0,Wan Chai
54,1,4,89,53,1.0,1.0,1.0,2,Private room,hostel,private,1,0,6,1,1,0,0,Yau Tsim Mong
55,1,1,83,0,1.0,1.0,1.0,30,Private room,apartment,private,1,0,6,1,1,0,0,Tsuen Wan
56,1,15,41,14,1.0,1.0,1.0,3,Private room,guesthouse,private,1,1,5,1,0,0,0,Yau Tsim Mong
57,1,31,90,0,1.0,1.0,1.0,1,Private room,guest suite,private,1,1,4,1,1,0,0,Yau Tsim Mong
58,1,4,82,86,1.0,1.0,1.0,1,Private room,apartment,private,1,1,5,1,1,0,0,Yau Tsim Mong
59,1,4,22,4,1.0,1.0,1.0,3,Private room,apartment,private,1,1,4,1,0,0,1,Central & Western
60,1,1,90,0,1.0,1.0,1.0,100,Private room,guesthouse,private,1,1,6,1,0,0,1,Eastern
61,1,8,21,1,1.0,1.0,1.0,6,Private room,guest suite,private,1,1,6,1,1,0,1,Wan Chai
62,1,1,89,19,1.0,1.0,1.0,2,Private room,apartment,private,1,1,5,1,1,0,0,Central & Western
63,1,2,89,0,1.0,1.0,1.0,1,Private room,condominium,private,1,1,3,1,1,0,1,Kwun Tong
64,1,81,89,9,1.0,1.0,1.0,10,Private room,apartment,private,0,0,6,1,1,0,0,Yau Tsim Mong
65,1,9,90,0,1.0,1.0,1.0,30,Private room,serviced apartment,private,0,0,3,1,1,0,1,Wan Chai
66,1,1,0,8,1.0,1.0,1.0,7,Private room,loft,private,0,1,1,1,1,0,0,North
67,1,44,90,31,1.0,1.0,1.0,1,Private room,hostel,private,1,0,6,1,0,0,0,Yau Tsim Mong
68,1,266,90,0,1.0,1.0,1.0,30,Private room,apartment,private,1,0,8,1,0,1,0,Eastern
69,1,2,0,1,1.0,1.0,1.0,30,Private room,condominium,private,1,0,8,1,0,0,0,Wan Chai
70,1,3,90,10,1.0,1.0,1.0,7,Private room,apartment,private,1,0,6,1,1,0,0,Eastern
71,1,9,83,0,1.0,1.0,1.0,30,Private room,townhouse,private,1,1,9,1,1,0,0,Sha Tin
72,1,1,52,22,1.0,1.0,1.0,1,Private room,apartment,private,1,1,7,1,1,0,0,Southern
73,1,3,89,4,1.0,1.0,1.0,1,Private room,apartment,regular,0,0,1,1,0,0,0,Kowloon City
74,1,3,90,0,3.0,1.0,1.0,1,Shared room,hostel,regular,0,0,1,1,0,0,0,Wan Chai
76,1,2,0,3,1.5,1.0,1.0,1,Private room,apartment,regular,0,0,6,1,1,0,0,Central & Western
77,1,6,90,1,1.0,1.0,1.0,1,Private room,guesthouse,regular,0,0,4,1,0,0,0,Wan Chai
78,1,10,90,0,1.0,1.0,1.0,1,Private room,hostel,regular,0,0,4,1,1,1,0,Wan Chai
81,1,0,66,0,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,0,0,2,1,1,0,0,North
82,1,2,89,0,1.0,1.0,1.0,2,Private room,apartment,regular,0,0,5,1,1,0,0,Wan Chai
84,1,2,83,1,3.0,1.0,3.0,25,Private room,guesthouse,regular,0,0,4,1,1,0,0,Sai Kung
86,1,3,0,1,1.0,1.0,1.0,1,Private room,house,regular,0,0,4,1,0,0,0,Sham Shui Po
88,1,6,90,0,1.0,1.0,1.0,1,Private room,bed and breakfast,regular,0,0,2,1,1,0,1,Yau Tsim Mong
90,1,1,81,8,2.0,1.0,2.0,1,Private room,apartment,regular,0,0,6,1,1,0,0,Wan Chai
91,1,2,90,0,1.5,1.0,1.0,60,Entire home/apt,Entire serviced apartment,regular,0,0,4,1,1,1,1,Kowloon City
92,1,4,88,1,3.0,1.0,1.0,28,Private room,hostel,regular,0,0,7,1,0,0,0,Tuen Mun
93,1,7,49,0,1.5,1.0,1.0,30,Private room,apartment,regular,0,0,1,1,1,0,0,Central & Western
94,1,6,0,3,1.0,1.0,2.0,5,Private room,condominium,regular,0,0,5,1,1,0,0,Sham Shui Po
95,1,2,21,1,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,0,0,5,1,0,0,0,Wan Chai
97,1,5,81,0,1.5,0.0,1.0,2,Shared room,apartment,regular,0,0,4,1,1,0,0,Wan Chai
98,1,1,83,0,2.0,1.0,1.0,1,Private room,apartment,regular,0,0,2,1,1,0,0,Tsuen Wan
99,1,1,90,0,1.0,1.0,1.0,1,Private room,apartment,regular,0,0,5,1,0,0,0,Sai Kung
101,1,1,0,0,1.0,1.0,1.0,3,Private room,apartment,regular,0,0,5,1,0,0,0,Central & Western
102,1,1,0,0,1.0,1.0,1.0,3,Private room,apartment,regular,0,0,6,1,0,0,0,Islands
103,1,1,83,0,1.0,1.0,1.0,30,Private room,apartment,regular,0,0,5,1,0,0,0,Kwun Tong
104,1,1,0,0,1.0,1.0,1.0,1,Private room,house,regular,0,0,6,1,0,0,0,North
105,1,1,87,0,2.0,1.0,1.0,20,Private room,condominium,regular,0,0,2,1,0,0,0,Wan Chai
106,1,1,0,1,1.0,1.0,1.0,15,Private room,treehouse,regular,0,0,4,1,0,0,0,Yau Tsim Mong
107,1,27,90,2,1.0,1.0,1.0,1,Private room,apartment,regular,0,0,5,1,1,0,0,Eastern
108,1,27,89,8,1.0,1.0,1.0,1,Private room,hostel,regular,0,0,5,1,1,0,0,Eastern
109,1,1,0,1,0.0,1.0,1.0,1,Shared room,chalet,regular,0,0,5,1,1,0,0,Yuen Long
110,1,3,90,0,1.0,1.0,1.0,1,Entire home/apt,Entire house,regular,0,0,4,1,1,0,1,Yuen Long
111,1,2,82,0,1.5,1.0,1.0,10,Shared room,apartment,regular,0,0,2,1,1,0,1,Sha Tin
112,1,0,83,0,1.0,1.0,1.0,120,Private room,apartment,regular,0,0,7,1,1,0,0,Kowloon City
113,1,0,0,0,2.0,1.0,1.0,2,Private room,apartment,regular,0,0,3,1,1,0,1,Central & Western
114,1,1,65,0,1.0,2.0,2.0,1,Entire home/apt,Entire house,regular,0,0,3,1,1,0,1,North
115,1,2,90,13,1.0,1.0,1.0,30,Private room,apartment,regular,0,0,6,1,1,0,1,Wan Chai
116,1,2,0,0,1.0,1.0,1.0,14,Entire home/apt,Entire apartment,regular,0,1,6,1,1,0,0,Central & Western
118,1,1,9,0,1.0,1.0,1.0,5,Entire home/apt,Entire apartment,regular,0,1,3,1,1,0,0,Eastern
119,1,1,90,4,1.5,1.0,1.0,2,Private room,guesthouse,regular,0,1,2,1,1,0,1,Tuen Mun
120,1,0,90,0,1.0,1.0,1.0,30,Entire home/apt,Entire house,regular,0,1,2,1,1,0,1,Yuen Long
122,1,1,89,0,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,0,1,4,1,1,0,1,Kwai Tsing
123,1,1,90,2,1.0,1.0,1.0,1,Entire home/apt,Entire guest suite,regular,0,1,2,1,1,0,0,Wan Chai
124,1,0,54,23,1.0,1.0,1.0,5,Entire home/apt,Entire apartment,regular,0,1,6,1,1,0,0,Central & Western
125,1,18,90,0,1.0,1.0,1.0,28,Private room,hostel,regular,0,1,1,1,1,0,0,Wan Chai
129,1,0,90,0,1.5,1.0,1.0,14,Private room,guesthouse,regular,0,1,6,1,0,0,1,Yau Tsim Mong
131,1,10,90,0,4.0,1.0,1.0,28,Shared room,condominium,regular,0,1,1,1,1,0,1,Kowloon City
132,1,2,90,0,1.5,0.0,1.0,2,Private room,apartment,regular,0,1,5,1,1,0,1,Wan Chai
133,1,3,90,0,1.0,1.0,1.0,1,Private room,apartment,regular,0,1,0,1,1,0,0,North
134,1,0,90,0,1.0,1.0,1.0,30,Entire home/apt,Entire apartment,regular,0,1,0,1,1,0,1,Yuen Long
135,1,1,88,8,1.0,0.0,1.0,2,Entire home/apt,Entire apartment,regular,0,1,6,1,1,0,0,Wan Chai
138,1,2,90,0,0.0,0.0,1.0,1,Private room,apartment,regular,1,0,5,1,1,0,1,Eastern
139,1,31,90,0,7.0,0.0,7.0,1,Private room,Private room,regular,1,0,4,1,1,0,1,Yau Tsim Mong
142,1,266,90,0,2.0,1.0,1.0,30,Private room,apartment,regular,1,0,8,1,0,1,0,Eastern
143,1,266,90,0,1.0,1.0,1.0,30,Private room,apartment,regular,1,0,8,1,0,1,0,Wan Chai
144,1,266,89,0,1.0,1.0,1.0,30,Private room,apartment,regular,1,0,8,1,0,1,0,Yau Tsim Mong
145,1,30,90,1,1.5,1.0,1.0,7,Private room,hostel,regular,1,0,5,1,1,0,0,Yau Tsim Mong
151,1,1,89,79,1.0,1.0,1.0,2,Private room,apartment,regular,1,0,4,1,0,0,0,Wan Chai
153,1,2,89,3,1.5,1.0,2.0,1,Private room,condominium,regular,1,0,5,1,1,0,0,Eastern
154,1,0,0,2,1.0,1.0,1.0,1,Private room,hostel,regular,1,0,2,1,1,0,0,Yau Tsim Mong
155,1,3,0,44,1.5,0.0,1.0,2,Private room,apartment,regular,1,0,8,1,1,0,0,Sai Kung
156,1,2,90,1,1.5,0.0,1.0,30,Shared room,condominium,regular,1,0,1,1,1,0,0,Yau Tsim Mong
157,1,27,90,0,1.0,1.0,1.0,1,Private room,apartment,regular,1,0,6,1,1,0,1,Yau Tsim Mong
158,1,1,89,8,1.0,1.0,1.0,28,Entire home/apt,Entire condominium,regular,1,0,6,1,1,1,0,Yau Tsim Mong
159,1,1,3,42,1.5,0.0,1.0,2,Entire home/apt,Entire apartment,regular,1,0,6,1,1,1,1,Central & Western
161,1,2,2,14,1.0,1.0,1.0,2,Private room,apartment,regular,1,0,8,1,1,1,0,North
162,1,266,90,1,1.0,2.0,1.0,30,Private room,apartment,regular,1,0,8,1,0,1,0,Wong Tai Sin
163,1,386,1,0,1.0,1.0,1.0,29,Private room,apartment,regular,1,0,7,1,0,1,1,Central & Western
166,1,1,90,0,1.0,1.0,1.0,60,Private room,apartment,regular,1,0,8,1,1,0,0,Wan Chai
167,1,7,0,115,3.5,0.0,1.0,2,Hotel room,hostel,regular,1,0,9,1,1,1,0,Yau Tsim Mong
168,1,1,90,0,1.5,0.0,1.0,14,Private room,apartment,regular,1,0,7,1,1,1,0,Central & Western
170,1,16,90,0,2.0,1.0,1.0,28,Private room,apartment,regular,1,0,7,1,1,0,0,Yau Tsim Mong
171,1,2,0,28,1.0,1.0,1.0,1,Private room,apartment,regular,1,0,4,1,1,1,0,Sai Kung
172,1,11,0,0,1.0,1.0,1.0,1,Private room,hostel,regular,1,0,8,1,1,1,1,Yau Tsim Mong
173,1,54,49,82,0.0,1.0,1.0,1,Private room,condominium,regular,1,0,5,1,0,0,0,Yau Tsim Mong
174,1,54,50,7,0.0,4.0,1.0,1,Shared room,condominium,regular,1,0,5,1,0,0,0,Yau Tsim Mong
175,1,54,1,4,0.0,4.0,1.0,1,Shared room,guesthouse,regular,1,0,5,1,0,0,0,Yau Tsim Mong
176,1,13,0,17,1.5,1.0,1.0,1,Private room,condominium,regular,1,0,5,1,1,0,0,Yau Tsim Mong
178,1,2,90,0,1.0,1.0,1.0,6,Private room,condominium,regular,1,0,3,1,0,0,1,Wan Chai
179,1,1,90,66,1.0,1.0,1.0,1,Private room,apartment,regular,1,0,8,1,0,0,0,Central & Western
180,1,9,0,2,0.0,1.0,1.0,1,Shared room,apartment,regular,1,0,6,1,1,0,0,Yau Tsim Mong
181,1,1,1,0,1.0,1.0,1.0,1,Private room,apartment,regular,1,0,6,1,1,0,0,Central & Western
182,1,1,89,13,1.0,1.0,1.0,3,Private room,house,regular,1,0,5,1,1,0,0,Sha Tin
184,1,1,0,1,1.5,1.0,1.0,1,Private room,apartment,regular,1,1,4,1,1,0,0,Yuen Long
185,1,1,22,19,1.5,1.0,1.0,2,Private room,apartment,regular,1,1,6,1,1,0,0,Yuen Long
186,1,2,0,15,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,1,1,7,1,1,0,0,Central & Western
187,1,1,90,14,1.0,1.0,1.0,2,Hotel room,serviced apartment,regular,1,1,2,1,0,0,0,Yau Tsim Mong
189,1,2,16,0,1.5,4.0,1.0,28,Private room,condominium,regular,1,1,1,1,1,0,0,Yau Tsim Mong
193,1,8,0,0,3.0,1.0,1.0,28,Private room,apartment,regular,1,1,1,1,0,0,0,Yau Tsim Mong
194,1,35,90,1,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,1,1,3,1,1,0,0,Yau Tsim Mong
195,1,38,0,10,2.0,1.0,1.0,1,Hotel room,aparthotel,regular,1,1,3,1,1,0,1,Wan Chai
197,1,13,89,0,10.0,1.0,1.0,28,Private room,apartment,regular,1,1,5,1,1,0,0,Sham Shui Po
198,1,32,68,62,3.0,10.0,1.0,1,Shared room,apartment,regular,1,1,7,1,1,1,1,Yau Tsim Mong
199,1,1,29,0,1.0,1.0,1.0,1,Private room,condominium,regular,1,1,7,1,0,0,0,Yau Tsim Mong
200,1,1,0,0,0.0,0.0,1.0,1,Shared room,apartment,regular,1,1,6,1,0,0,1,Wong Tai Sin
201,1,0,89,1,1.0,1.0,1.0,30,Private room,condominium,regular,1,1,3,1,0,0,0,Kowloon City
202,1,1,88,12,1.0,1.0,1.0,1,Private room,apartment,regular,1,1,4,1,1,0,0,Central & Western
204,1,5,90,1,2.0,1.0,1.0,1,Private room,apartment,regular,1,1,1,1,1,0,0,Sham Shui Po
206,1,2,90,0,1.5,1.0,1.0,30,Private room,apartment,regular,1,1,4,1,1,0,0,Yau Tsim Mong
207,1,4,90,0,1.5,1.0,1.0,1,Private room,guest suite,regular,1,1,1,1,1,0,1,Kwun Tong
208,1,0,83,0,1.0,1.0,1.0,28,Private room,apartment,regular,1,1,4,1,1,0,0,Eastern
209,1,1,89,0,1.5,1.0,1.0,1,Shared room,condominium,regular,1,1,1,1,1,0,0,North
210,1,0,88,0,1.5,1.0,1.0,30,Private room,apartment,regular,1,1,6,1,1,0,1,Yau Tsim Mong
211,1,3,90,57,2.0,0.0,1.0,1,Hotel room,boutique hotel,regular,0,0,2,1,0,0,1,Yau Tsim Mong
212,1,1,90,16,3.0,1.0,1.0,3,Private room,apartment,regular,0,0,3,1,0,0,0,Yau Tsim Mong
213,1,2,65,1,4.0,1.0,1.0,7,Shared room,serviced apartment,regular,0,0,2,1,0,1,0,Yau Tsim Mong
215,1,0,49,3,1.0,1.0,1.0,14,Entire home/apt,Entire apartment,regular,0,0,1,1,0,0,0,Sham Shui Po
216,1,9,89,0,3.0,1.0,1.0,7,Shared room,apartment,regular,0,0,1,1,0,0,0,Yau Tsim Mong
217,1,9,90,6,3.0,1.0,1.0,1,Shared room,boutique hotel,regular,0,0,1,1,0,0,1,Yau Tsim Mong
218,1,4,0,24,0.0,1.0,1.0,1,Shared room,guesthouse,regular,0,0,3,1,1,0,1,Yau Tsim Mong
221,1,19,0,0,3.0,10.0,1.0,30,Shared room,apartment,regular,0,1,7,1,1,1,0,Eastern
222,1,1,88,1,1.0,1.0,1.0,2,Private room,condominium,regular,0,1,3,1,0,0,0,Yau Tsim Mong
224,1,9,90,1,1.0,1.0,1.0,1,Private room,Private room,regular,1,0,5,1,0,0,0,Yau Tsim Mong
225,1,1,89,232,1.0,1.0,1.0,2,Private room,apartment,regular,1,0,8,1,0,1,0,Kowloon City
226,1,2,56,39,1.0,1.0,1.0,2,Private room,apartment,regular,1,0,8,1,1,1,0,North
227,1,1,13,7,1.5,1.0,1.0,1,Private room,apartment,regular,1,0,4,1,1,0,0,Yuen Long
228,1,266,90,1,1.0,1.0,1.0,30,Private room,apartment,regular,1,0,8,1,0,1,0,Wan Chai
229,1,386,90,0,1.0,1.0,1.0,29,Private room,serviced apartment,regular,1,0,7,1,0,1,0,Wan Chai
230,1,1,0,3,1.5,1.0,1.0,1,Private room,guest suite,regular,1,0,1,1,1,0,0,Sham Shui Po
231,1,54,21,38,0.0,1.0,1.0,1,Private room,apartment,regular,1,0,5,1,0,0,0,Yau Tsim Mong
233,1,3,51,2,1.5,1.0,1.0,1,Private room,condominium,regular,1,0,5,1,0,0,0,Kowloon City
234,1,0,89,2,1.5,0.0,1.0,1,Private room,apartment,regular,1,0,1,1,0,0,0,Sham Shui Po
235,1,2,0,9,2.0,1.0,1.0,3,Private room,apartment,regular,1,1,5,1,1,0,0,Yau Tsim Mong
236,1,3,90,23,1.5,1.0,1.0,3,Private room,house,regular,1,1,5,1,0,0,0,Tai Po
237,1,3,90,20,1.5,1.0,1.0,3,Private room,house,regular,1,1,5,1,0,0,1,Tai Po
238,1,3,90,5,1.5,1.0,1.0,4,Private room,apartment,regular,1,1,5,1,1,0,0,Central & Western
239,1,1,87,1,1.0,2.0,1.0,28,Entire home/apt,Entire apartment,regular,1,1,3,1,1,0,0,Sha Tin
240,1,12,90,0,1.5,4.0,1.0,28,Private room,apartment,regular,1,1,4,1,1,0,0,Wan Chai
241,1,3,77,47,1.5,1.0,1.0,4,Private room,apartment,regular,1,1,5,1,1,0,1,Central & Western
243,1,6,90,1,2.0,1.0,1.0,28,Hotel room,serviced apartment,regular,1,1,4,1,1,0,1,Central & Western
245,1,16,1,1,8.0,1.0,1.0,1,Shared room,hostel,regular,1,1,8,1,1,0,1,Yau Tsim Mong
246,1,2,90,153,1.5,2.0,1.0,2,Private room,apartment,regular,1,1,5,1,1,1,1,Yau Tsim Mong
249,1,12,49,3,0.0,1.0,1.0,1,Private room,bed and breakfast,regular,1,1,7,1,0,1,0,Yau Tsim Mong
250,1,38,1,93,2.0,1.0,1.0,1,Hotel room,bed and breakfast,regular,1,1,3,1,1,0,1,Wan Chai
251,1,2,0,25,1.0,1.0,1.0,3,Private room,apartment,regular,1,1,4,1,1,1,0,Sai Kung
253,1,3,90,4,1.0,1.0,1.0,1,Private room,apartment,regular,1,1,5,1,1,0,0,Sham Shui Po
254,1,13,0,3,1.5,0.0,1.0,3,Private room,condominium,regular,1,1,5,1,1,0,0,Yau Tsim Mong
255,1,24,90,155,1.0,4.0,1.0,1,Hotel room,hotel,regular,1,1,5,1,1,0,0,Yau Tsim Mong
256,1,24,90,2,3.0,1.0,1.0,1,Shared room,hostel,regular,1,1,5,1,1,0,0,Yau Tsim Mong
257,1,20,21,50,1.0,1.0,1.0,2,Private room,apartment,regular,1,1,5,1,0,0,1,Yau Tsim Mong
258,1,6,90,0,1.0,2.0,1.0,30,Private room,apartment,regular,1,1,5,1,0,0,0,Yau Tsim Mong
259,1,5,83,0,4.0,1.0,1.0,90,Shared room,house,regular,1,1,2,1,0,0,0,Yau Tsim Mong
261,1,5,90,125,3.0,1.0,1.0,1,Hotel room,hostel,regular,1,1,7,1,0,1,1,Yau Tsim Mong
262,1,1,86,7,1.5,0.0,1.0,3,Private room,apartment,regular,1,1,7,1,1,0,0,Wan Chai
263,1,1,0,28,0.5,1.0,1.0,1,Private room,apartment,regular,1,1,7,1,1,0,0,Wan Chai
264,1,2,90,12,1.5,1.0,1.0,1,Shared room,loft,regular,1,1,4,1,1,0,1,Central & Western
265,1,1,30,32,1.5,1.0,1.0,1,Shared room,house,regular,1,1,2,1,1,0,1,Kowloon City
266,1,3,89,3,1.0,1.0,1.0,1,Private room,apartment,shared,0,0,1,1,0,0,0,Kowloon City
267,1,3,90,0,1.0,1.0,1.0,1,Shared room,apartment,shared,0,0,1,1,0,0,1,Kowloon City
268,1,3,90,0,2.0,1.0,1.0,15,Private room,bungalow,shared,0,0,4,1,0,0,0,Sham Shui Po
269,1,10,89,0,1.0,1.0,1.0,1,Private room,apartment,shared,0,0,1,1,1,0,1,Yau Tsim Mong
270,1,10,1,1,1.0,1.0,1.0,1,Private room,hostel,shared,0,0,4,1,1,1,1,Wan Chai
271,1,1,88,0,1.0,3.0,1.0,15,Shared room,apartment,shared,0,0,1,1,0,0,0,Sha Tin
272,1,1,0,0,1.0,1.0,1.0,1,Private room,apartment,shared,0,0,4,1,0,0,0,Wan Chai
273,1,1,0,0,1.0,0.0,1.0,1,Shared room,house,shared,0,0,4,1,0,0,0,Yau Tsim Mong
274,1,1,90,0,1.0,1.0,1.0,1,Private room,condominium,shared,0,0,2,1,0,0,1,Central & Western
275,1,2,89,0,1.0,1.0,1.0,5,Private room,guest suite,shared,0,0,1,1,0,0,1,Sham Shui Po
276,1,1,89,0,1.0,1.0,1.0,1,Shared room,apartment,shared,0,0,4,1,0,0,1,Wong Tai Sin
277,1,6,0,0,1.0,1.0,1.0,5,Private room,apartment,shared,0,0,4,1,1,0,0,Eastern
280,1,1,8,0,1.0,1.0,1.0,1,Private room,serviced apartment,shared,0,0,1,1,1,0,1,Wan Chai
281,1,1,88,0,1.0,1.0,1.0,1,Private room,condominium,shared,0,0,2,1,1,0,1,Yuen Long
282,1,1,83,0,1.0,1.0,1.0,5,Private room,condominium,shared,0,0,3,1,0,0,0,Central & Western
283,1,1,66,0,1.0,1.0,1.0,14,Private room,apartment,shared,0,0,3,1,0,0,0,Wan Chai
284,1,1,90,6,1.0,1.0,1.0,1,Private room,apartment,shared,0,0,3,1,0,0,0,Eastern
285,1,0,4,1,1.0,1.0,1.0,1,Shared room,cottage,shared,0,0,1,1,0,0,0,Yuen Long
287,1,7,83,0,1.0,1.0,1.0,30,Private room,condominium,shared,0,0,4,1,0,0,0,Yau Tsim Mong
288,1,2,0,8,1.0,1.0,1.0,1,Private room,apartment,shared,0,0,2,1,0,0,1,Eastern
290,1,1,0,10,1.0,1.0,1.0,2,Private room,bed and breakfast,shared,0,0,2,1,0,0,0,Tai Po
291,1,1,89,14,1.0,0.0,1.0,2,Private room,apartment,shared,0,0,3,1,0,0,0,Wan Chai
292,1,10,21,7,1.0,1.0,1.0,28,Private room,apartment,shared,0,0,3,1,0,1,0,Wan Chai
293,1,2,90,26,1.0,1.0,1.0,5,Private room,apartment,shared,0,0,4,1,0,1,1,Central & Western
295,1,3,90,1,1.0,1.0,1.0,2,Private room,apartment,shared,0,0,1,1,1,0,0,Islands
296,1,6,23,20,1.0,1.0,1.0,28,Private room,condominium,shared,0,0,3,1,1,0,0,Wan Chai
298,1,5,84,0,1.0,1.0,1.0,2,Shared room,apartment,shared,0,0,4,1,1,0,0,Wan Chai
299,1,1,57,15,1.0,2.0,2.0,1,Private room,apartment,shared,0,0,3,1,0,0,0,Sai Kung
300,1,2,90,0,1.0,1.0,2.0,5,Private room,apartment,shared,0,0,3,0,0,0,0,Sai Kung
301,1,1,90,9,1.0,1.0,1.0,1,Private room,condominium,shared,0,0,5,1,0,0,0,Central & Western
304,1,3,89,0,1.0,1.0,1.0,30,Shared room,townhouse,shared,0,0,1,1,0,0,0,Yuen Long
305,1,1,90,1,1.0,1.0,1.0,5,Private room,condominium,shared,0,0,5,1,0,0,1,Sha Tin
306,1,1,0,2,1.0,1.0,1.0,60,Private room,apartment,shared,0,0,6,1,0,0,0,Sai Kung
307,1,1,87,17,1.0,1.0,3.0,1,Private room,apartment,shared,0,0,2,1,0,0,0,Sha Tin
308,1,1,0,0,1.0,1.0,1.0,1,Shared room,apartment,shared,0,0,5,1,0,0,0,Central & Western
